data,umidade,temperatura
2020-11-28 14:33:28.729693,797,26.4
2020-11-28 14:33:30.761372,797,26.4
2020-11-28 14:33:32.792725,797,26.4
2020-11-28 14:33:34.824021,797,26.4
2020-11-28 14:33:36.855413,797,26.4
2020-11-28 14:33:38.886963,797,26.4
2020-11-28 14:33:40.918600,798,26.4
2020-11-28 14:33:42.950051,798,26.4
2020-11-28 14:33:44.981664,798,26.4
2020-11-28 14:33:47.013102,797,26.4
2020-11-28 14:33:49.044634,797,26.4
2020-11-28 14:33:51.076139,798,26.4
2020-11-28 14:33:53.107730,799,26.4
2020-11-28 14:33:55.139210,799,26.4
2020-11-28 14:33:57.170694,799,26.4
2020-11-28 14:33:59.202247,799,26.4
2020-11-28 14:34:01.233751,799,26.4
2020-11-28 14:34:03.265283,797,26.4
2020-11-28 14:34:05.296781,796,26.4
2020-11-28 14:34:07.328292,792,26.4
2020-11-28 14:34:09.359808,790,26.4
2020-11-28 14:34:11.391306,791,26.4
2020-11-28 14:34:13.422816,793,26.4
2020-11-28 14:34:15.454533,794,26.4
2020-11-28 14:34:17.486002,794,26.4
2020-11-28 14:34:19.517672,794,26.4
2020-11-28 14:34:21.548995,795,26.4
2020-11-28 14:34:23.580706,793,26.4
2020-11-28 14:34:25.612212,782,26.4
2020-11-28 14:34:27.643288,750,26.4
2020-11-28 14:34:29.675277,730,26.4
2020-11-28 14:34:31.706789,730,26.4
2020-11-28 14:34:33.738292,731,26.4
2020-11-28 14:34:35.769513,732,26.4
2020-11-28 14:34:37.801342,737,26.5
2020-11-28 14:34:39.832958,737,26.4
2020-11-28 14:34:41.864455,739,26.4
2020-11-28 14:34:43.895668,739,26.5
2020-11-28 14:34:45.927408,739,26.5
2020-11-28 14:34:47.958979,739,26.5
2020-11-28 14:34:49.990264,739,26.5
2020-11-28 14:34:52.021759,737,26.5
2020-11-28 14:34:54.053538,735,26.5
2020-11-28 14:34:56.085021,735,26.5
2020-11-28 14:34:58.112723,735,26.5
2020-11-28 14:35:00.143943,735,26.5
2020-11-28 14:35:02.175622,734,26.4
2020-11-28 14:35:04.206727,734,26.5
2020-11-28 14:35:06.238432,727,26.5
2020-11-28 14:35:08.270220,709,26.5
2020-11-28 14:35:10.301771,710,26.4
2020-11-28 14:35:12.333174,712,26.4
2020-11-28 14:35:14.364773,716,26.4
2020-11-28 14:35:16.396093,719,26.4
2020-11-28 14:35:18.427661,718,26.5
2020-11-28 14:35:20.459273,720,26.4
2020-11-28 14:35:22.490503,720,26.5
2020-11-28 14:35:24.521903,719,26.4
2020-11-28 14:35:26.553850,649,26.4
2020-11-28 14:35:28.585170,431,26.4
2020-11-28 14:35:30.616819,370,26.4
2020-11-28 14:35:32.648347,361,26.4
2020-11-28 14:35:34.679838,356,26.4
2020-11-28 14:35:36.711276,357,26.4
2020-11-28 14:35:38.742806,399,26.4
2020-11-28 14:35:40.774314,437,26.4
2020-11-28 14:35:42.805473,451,26.4
2020-11-28 14:35:44.832961,471,26.4
2020-11-28 14:35:46.864432,478,26.4
2020-11-28 14:35:48.896092,484,26.4
2020-11-28 14:35:50.927972,486,26.4
2020-11-28 14:35:52.959502,491,26.4
2020-11-28 14:35:54.991059,491,26.4
2020-11-28 14:35:57.022469,492,26.4
2020-11-28 14:35:59.054029,493,26.4
2020-11-28 14:36:01.085127,494,26.4
2020-11-28 14:36:03.117036,495,26.4
2020-11-28 14:36:05.148433,496,26.4
2020-11-28 14:36:07.179922,496,26.4
2020-11-28 14:36:09.211613,496,26.4
2020-11-28 14:36:11.242674,497,26.4
2020-11-28 14:36:13.274301,497,26.4
2020-11-28 14:36:15.305856,497,26.4
2020-11-28 14:36:17.337418,498,26.4
2020-11-28 14:36:19.368860,498,26.4
2020-11-28 14:36:21.400391,498,26.4
2020-11-28 14:36:23.427702,498,26.4
2020-11-28 14:36:25.459725,498,26.4
2020-11-28 14:36:27.491013,497,26.4
2020-11-28 14:36:29.522436,498,26.4
2020-11-28 14:36:31.553873,497,26.4
2020-11-28 14:36:33.585389,497,26.4
2020-11-28 14:36:35.616859,497,26.4
2020-11-28 14:36:37.648473,497,26.4
2020-11-28 14:36:39.679841,497,26.4
2020-11-28 14:36:41.711438,497,26.4
2020-11-28 14:36:43.742879,497,26.4
2020-11-28 14:36:45.774471,496,26.4
2020-11-28 14:36:47.805954,497,26.4
2020-11-28 14:36:49.837518,496,26.4
2020-11-28 14:36:51.868931,497,26.4
2020-11-28 14:36:53.900593,497,26.4
2020-11-28 14:36:55.932028,497,26.4
2020-11-28 14:36:57.963568,498,26.4
